name,iso,id,country,admin_level,category,range_type,range,population,under_5_population,under_5_population_share,under_5_population_interval,under_5_population_interval_share,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,adults_population,adults_population_share,adults_population_interval,adults_population_interval_share,women_childbearing_population,women_childbearing_population_share,women_childbearing_population_interval,women_childbearing_population_interval_share,elderly_population,elderly_population_share,elderly_population_interval,elderly_population_interval_share,population_share,population_interval,population_interval_share
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,600,3296136,236168,63.31,236168,63.31,998663,63.29,998663,63.29,2615568,63.26,2615568,63.26,820413,63.22,820413,63.22,327495,63.24,327495,63.24,63.25,3296136,63.25
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,1200,4395892,314901,84.42,78733,21.11,1331606,84.4,332943,21.1,3488138,84.36,872570,21.1,1094300,84.32,273887,21.1,436878,84.36,109383,21.12,84.36,1099756,21.1
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,1800,4726386,338487,90.74,23586,6.32,1431459,90.72,99853,6.33,3750365,90.7,262227,6.34,1176763,90.68,82463,6.35,469743,90.71,32865,6.35,90.7,330494,6.34
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,2400,4892135,350311,93.91,11824,3.17,1481476,93.89,50017,3.17,3881812,93.88,131447,3.18,1218142,93.87,41379,3.19,486291,93.9,16548,3.2,93.88,165749,3.18
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,3000,4988462,357060,95.72,6749,1.81,1510309,95.72,28833,1.83,3958346,95.73,76534,1.85,1242424,95.74,24282,1.87,495765,95.73,9474,1.83,95.73,96327,1.85
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,3600,5026094,359751,96.44,2691,0.72,1521693,96.44,11384,0.72,3988202,96.45,29856,0.72,1251803,96.46,9379,0.72,499510,96.46,3745,0.72,96.45,37632,0.72
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,4200,5056222,361929,97.02,2178,0.58,1530893,97.03,9200,0.58,4012100,97.03,23898,0.58,1259261,97.03,7458,0.57,502513,97.04,3003,0.58,97.03,30128,0.58
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,4800,5075267,363296,97.39,1367,0.37,1536671,97.39,5778,0.37,4027213,97.4,15113,0.37,1263996,97.4,4735,0.36,504405,97.4,1892,0.37,97.4,19045,0.37
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,5400,5090182,364366,97.68,1070,0.29,1541192,97.68,4521,0.29,4039048,97.68,11835,0.29,1267707,97.69,3711,0.29,505888,97.69,1483,0.29,97.68,14915,0.29
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,6000,5115211,366160,98.16,1794,0.48,1548778,98.16,7586,0.48,4058909,98.16,19861,0.48,1273935,98.17,6228,0.48,508374,98.17,2486,0.48,98.16,25029,0.48
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,6600,5116121,366225,98.17,65,0.02,1549054,98.18,276,0.02,4059631,98.18,722,0.02,1274161,98.18,226,0.02,508464,98.19,90,0.02,98.18,910,0.02
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,7200,5118017,366362,98.21,137,0.04,1549632,98.21,578,0.04,4061135,98.22,1504,0.04,1274631,98.22,470,0.04,508653,98.22,189,0.04,98.22,1896,0.04
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,600,220645,21468,69.48,21468,69.48,81227,69.47,81227,69.47,183054,69.47,183054,69.47,52824,69.47,52824,69.47,13956,69.45,13956,69.45,69.47,220645,69.47
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,1200,289259,28137,91.06,6669,21.58,106473,91.06,25246,21.59,239972,91.07,56918,21.6,69251,91.07,16427,21.6,18302,91.08,4346,21.63,91.07,68614,21.6
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,1800,303157,29490,95.44,1353,4.38,111592,95.44,5119,4.38,251503,95.44,11531,4.38,72579,95.44,3328,4.38,19180,95.45,878,4.37,95.44,13898,4.38
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,2400,306320,29799,96.44,309,1.0,112757,96.44,1165,1.0,254128,96.44,2625,1.0,73336,96.44,757,1.0,19379,96.44,199,0.99,96.44,3163,1.0
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,3000,307299,29894,96.75,95,0.31,113118,96.75,361,0.31,254940,96.75,812,0.31,73570,96.75,234,0.31,19441,96.75,62,0.31,96.75,979,0.31
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,3600,307544,29918,96.83,24,0.08,113208,96.82,90,0.08,255144,96.82,204,0.08,73629,96.82,59,0.08,19457,96.83,16,0.08,96.82,245,0.08
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,4200,307723,29935,96.88,17,0.06,113274,96.88,66,0.06,255292,96.88,148,0.06,73672,96.88,43,0.06,19468,96.88,11,0.05,96.88,179,0.06
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,4800,308067,29969,96.99,34,0.11,113401,96.99,127,0.11,255578,96.99,286,0.11,73754,96.99,82,0.11,19490,96.99,22,0.11,96.99,344,0.11
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,5400,308067,29969,96.99,0,0.0,113401,96.99,0,0.0,255578,96.99,0,0.0,73754,96.99,0,0.0,19490,96.99,0,0.0,96.99,0,0.0
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,6000,308151,29977,97.02,8,0.03,113432,97.02,31,0.03,255647,97.01,69,0.03,73774,97.01,20,0.03,19495,97.01,5,0.02,97.02,84,0.03
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,6600,308224,29984,97.04,7,0.02,113459,97.04,27,0.02,255708,97.04,61,0.02,73792,97.04,18,0.02,19500,97.04,5,0.02,97.04,73,0.02
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,7200,308224,29984,97.04,0,0.0,113459,97.04,0,0.0,255708,97.04,0,0.0,73792,97.04,0,0.0,19500,97.04,0,0.0,97.04,0,0.0
Yangon,MM-06,20573499B24734669936209,MMR,ADM1,hospitals,TIME,600,7685309,447002,84.94,447002,84.94,2093412,84.98,2093412,84.98,6168990,85.02,6168990,85.02,2120146,85.05,2120146,85.05,693090,85.01,693090,85.01,85.02,7685309,85.02
Yangon,MM-06,20573499B24734669936209,MMR,ADM1,hospitals,TIME,1200,8229962,478877,91.0,31875,6.06,2242177,91.02,148765,6.04,6606126,91.05,437136,6.02,2270027,91.07,149881,6.01,742265,91.04,49175,6.03,91.05,544653,6.03
Yangon,MM-06,20573499B24734669936209,MMR,ADM1,hospitals,TIME,1800,8454357,491979,93.48,13102,2.49,2303407,93.51,61230,2.49,6786232,93.53,180106,2.48,2331833,93.54,61806,2.48,762517,93.52,20252,2.48,93.53,224395,2.48
Yangon,MM-06,20573499B24734669936209,MMR,ADM1,hospitals,TIME,2400,8644467,503037,95.59,11058,2.1,2355191,95.61,51784,2.1,6938833,95.63,152601,2.1,2384279,95.65,52446,2.1,779662,95.62,17145,2.1,95.63,190110,2.1
Yangon,MM-06,20573499B24734669936209,MMR,ADM1,hospitals,TIME,3000,8856928,515448,97.94,12411,2.36,2413176,97.96,57985,2.35,7109359,97.98,170526,2.35,2442788,98.0,58509,2.35,798839,97.98,19177,2.35,97.98,212461,2.35
Yangon,MM-06,20573499B24734669936209,MMR,ADM1,hospitals,TIME,3600,8916318,519016,98.62,3568,0.68,2429587,98.63,16411,0.67,7157005,98.64,47646,0.66,2458957,98.64,16169,0.65,804222,98.64,5383,0.66,98.64,59390,0.66
Yangon,MM-06,20573499B24734669936209,MMR,ADM1,hospitals,TIME,4200,8953607,521205,99.04,2189,0.42,2439785,99.05,10198,0.41,7186932,99.05,29927,0.41,2469206,99.06,10249,0.41,807589,99.05,3367,0.41,99.05,37289,0.41
Yangon,MM-06,20573499B24734669936209,MMR,ADM1,hospitals,TIME,4800,8964894,521875,99.17,670,0.13,2442886,99.17,3101,0.13,7195990,99.18,9058,0.12,2472295,99.18,3089,0.12,808610,99.17,1021,0.13,99.18,11287,0.12
Yangon,MM-06,20573499B24734669936209,MMR,ADM1,hospitals,TIME,5400,8970175,522190,99.23,315,0.06,2444342,99.23,1456,0.06,7200227,99.23,4237,0.06,2473737,99.24,1442,0.06,809088,99.23,478,0.06,99.23,5281,0.06
Yangon,MM-06,20573499B24734669936209,MMR,ADM1,hospitals,TIME,6000,8993176,523527,99.48,1337,0.25,2450605,99.48,6263,0.25,7218690,99.49,18463,0.25,2480084,99.49,6347,0.25,811162,99.49,2074,0.25,99.49,23001,0.25
Yangon,MM-06,20573499B24734669936209,MMR,ADM1,hospitals,TIME,6600,9009117,524453,99.66,926,0.18,2454945,99.66,4340,0.18,7231486,99.66,12796,0.18,2484483,99.67,4399,0.18,812599,99.66,1437,0.18,99.66,15941,0.18
Yangon,MM-06,20573499B24734669936209,MMR,ADM1,hospitals,TIME,7200,9011097,524568,99.68,115,0.02,2455484,99.68,539,0.02,7233075,99.69,1589,0.02,2485029,99.69,546,0.02,812778,99.69,179,0.02,99.69,1980,0.02
Rakhine,MM-16,20573499B29373908448635,MMR,ADM1,hospitals,TIME,600,972614,68498,49.19,68498,49.19,321541,49.22,321541,49.22,770073,49.23,770073,49.23,240303,49.24,240303,49.24,98356,49.25,98356,49.25,49.23,972614,49.23
Rakhine,MM-16,20573499B29373908448635,MMR,ADM1,hospitals,TIME,1200,1248909,87957,63.16,19459,13.97,412883,63.2,91342,13.98,988832,63.22,218759,13.99,308567,63.23,68264,13.99,126297,63.24,27941,13.99,63.22,276295,13.99
Rakhine,MM-16,20573499B29373908448635,MMR,ADM1,hospitals,TIME,1800,1347826,94923,68.17,6966,5.0,445585,68.2,32702,5.01,1067151,68.22,78319,5.01,333007,68.24,24440,5.01,136300,68.25,10003,5.01,68.23,98917,5.01
Rakhine,MM-16,20573499B29373908448635,MMR,ADM1,hospitals,TIME,2400,1422210,100162,71.93,5239,3.76,470175,71.97,24590,3.76,1126044,71.99,58893,3.77,351384,72.0,18377,3.77,143822,72.01,7522,3.77,71.99,74384,3.77
Rakhine,MM-16,20573499B29373908448635,MMR,ADM1,hospitals,TIME,3000,1486471,104688,75.18,4526,3.25,491420,75.22,21245,3.25,1176924,75.24,50880,3.25,367262,75.26,15878,3.25,150320,75.27,6498,3.25,75.25,64261,3.25
Rakhine,MM-16,20573499B29373908448635,MMR,ADM1,hospitals,TIME,3600,1510040,106348,76.37,1660,1.19,499212,76.41,7792,1.19,1195584,76.44,18660,1.19,373085,76.45,5823,1.19,152704,76.46,2384,1.19,76.44,23569,1.19
Rakhine,MM-16,20573499B29373908448635,MMR,ADM1,hospitals,TIME,4200,1537834,108308,77.78,1960,1.41,508406,77.82,9194,1.41,1217592,77.84,22008,1.41,379950,77.86,6865,1.41,155513,77.87,2809,1.41,77.85,27794,1.41
Rakhine,MM-16,20573499B29373908448635,MMR,ADM1,hospitals,TIME,4800,1566355,110320,79.22,2012,1.44,517840,79.26,9434,1.44,1240175,79.29,22583,1.44,386995,79.3,7045,1.44,158396,79.31,2883,1.44,79.29,28521,1.44
Rakhine,MM-16,20573499B29373908448635,MMR,ADM1,hospitals,TIME,5400,1578247,111157,79.82,837,0.6,521771,79.87,3931,0.6,1249591,79.89,9416,0.6,389933,79.9,2938,0.6,159598,79.91,1202,0.6,79.89,11892,0.6
Rakhine,MM-16,20573499B29373908448635,MMR,ADM1,hospitals,TIME,6000,1589141,111925,80.38,768,0.55,525374,80.42,3603,0.55,1258217,80.44,8626,0.55,392625,80.45,2692,0.55,160700,80.47,1102,0.55,80.44,10894,0.55
Rakhine,MM-16,20573499B29373908448635,MMR,ADM1,hospitals,TIME,6600,1596387,112435,80.74,510,0.37,527769,80.78,2395,0.37,1263953,80.81,5736,0.37,394415,80.82,1790,0.37,161433,80.83,733,0.37,80.81,7246,0.37
Rakhine,MM-16,20573499B29373908448635,MMR,ADM1,hospitals,TIME,7200,1602513,112866,81.05,431,0.31,529794,81.09,2025,0.31,1268803,81.12,4850,0.31,395928,81.13,1513,0.31,162052,81.14,619,0.31,81.12,6126,0.31
Mandalay,MM-04,20573499B45980987355836,MMR,ADM1,hospitals,TIME,600,4518477,296513,65.51,296513,65.51,1305354,65.54,1305354,65.54,3598020,65.59,3598020,65.59,1195341,65.61,1195341,65.61,436450,65.49,436450,65.49,65.58,4518477,65.58
Mandalay,MM-04,20573499B45980987355836,MMR,ADM1,hospitals,TIME,1200,5591316,367064,81.09,70551,15.59,1615660,81.12,310306,15.58,4452078,81.16,854058,15.57,1478916,81.17,283575,15.56,540311,81.07,103861,15.58,81.15,1072839,15.57
Mandalay,MM-04,20573499B45980987355836,MMR,ADM1,hospitals,TIME,1800,5991331,393399,86.91,26335,5.82,1731410,86.93,115750,5.81,4770433,86.96,318355,5.8,1584593,86.97,105677,5.8,579123,86.89,38812,5.82,86.95,400015,5.81
Mandalay,MM-04,20573499B45980987355836,MMR,ADM1,hospitals,TIME,2400,6274461,412085,91.04,18686,4.13,1813454,91.05,82044,4.12,4995774,91.07,225341,4.11,1659339,91.07,74746,4.1,606584,91.01,27461,4.12,91.06,283130,4.11
Mandalay,MM-04,20573499B45980987355836,MMR,ADM1,hospitals,TIME,3000,6460750,424299,93.74,12214,2.7,1867219,93.75,53765,2.7,5144003,93.77,148229,2.7,1708604,93.78,49265,2.7,624689,93.73,18105,2.72,93.76,186289,2.7
Mandalay,MM-04,20573499B45980987355836,MMR,ADM1,hospitals,TIME,3600,6519607,428162,94.59,3863,0.85,1884219,94.61,17000,0.85,5190842,94.62,46839,0.85,1724166,94.63,15562,0.85,630403,94.59,5714,0.86,94.62,58857,0.85
Mandalay,MM-04,20573499B45980987355836,MMR,ADM1,hospitals,TIME,4200,6557441,430689,95.15,2527,0.56,1895260,95.16,11041,0.55,5220961,95.17,30119,0.55,1734121,95.18,9955,0.55,634065,95.14,3662,0.55,95.17,37834,0.55
Mandalay,MM-04,20573499B45980987355836,MMR,ADM1,hospitals,TIME,4800,6633556,435680,96.25,4991,1.1,1917236,96.26,21976,1.1,5281536,96.28,60575,1.1,1754248,96.28,20127,1.1,641453,96.25,7388,1.11,96.27,76115,1.1
Mandalay,MM-04,20573499B45980987355836,MMR,ADM1,hospitals,TIME,5400,6681149,438819,96.94,3139,0.69,1931030,96.96,13794,0.69,5319423,96.97,37887,0.69,1766817,96.97,12569,0.69,646060,96.94,4607,0.69,96.96,47593,0.69
Mandalay,MM-04,20573499B45980987355836,MMR,ADM1,hospitals,TIME,6000,6752182,443469,97.97,4650,1.03,1951511,97.98,20481,1.03,5375940,98.0,56517,1.03,1785609,98.0,18792,1.03,652968,97.97,6908,1.04,97.99,71033,1.03
Mandalay,MM-04,20573499B45980987355836,MMR,ADM1,hospitals,TIME,6600,6810091,447287,98.81,3818,0.84,1968188,98.82,16677,0.84,5421896,98.83,45956,0.84,1800871,98.84,15262,0.84,658716,98.84,5748,0.86,98.83,57909,0.84
Mandalay,MM-04,20573499B45980987355836,MMR,ADM1,hospitals,TIME,7200,6815973,447676,98.9,389,0.09,1969895,98.91,1707,0.09,5426584,98.92,4688,0.09,1802424,98.92,1553,0.09,659282,98.92,566,0.08,98.92,5882,0.09
Tanitharyi,MM-05,20573499B47967485654923,MMR,ADM1,hospitals,TIME,600,909198,79358,61.77,79358,61.77,323873,61.77,323873,61.77,739249,61.77,739249,61.77,208214,61.77,208214,61.77,72558,61.77,72558,61.77,61.77,909198,61.77
Tanitharyi,MM-05,20573499B47967485654923,MMR,ADM1,hospitals,TIME,1200,1057887,92336,71.87,12978,10.1,376838,71.87,52965,10.1,860144,71.87,120895,10.1,242265,71.87,34051,10.1,84424,71.87,11866,10.1,71.87,148689,10.1
Tanitharyi,MM-05,20573499B47967485654923,MMR,ADM1,hospitals,TIME,1800,1145195,99957,77.8,7621,5.93,407939,77.8,31101,5.93,931133,77.8,70989,5.93,262259,77.8,19994,5.93,91392,77.8,6968,5.93,77.8,87308,5.93
Tanitharyi,MM-05,20573499B47967485654923,MMR,ADM1,hospitals,TIME,2400,1186469,103559,80.6,3602,2.8,422641,80.6,14702,2.8,964692,80.6,33559,2.8,271711,80.6,9452,2.8,94685,80.6,3293,2.8,80.6,41274,2.8
Tanitharyi,MM-05,20573499B47967485654923,MMR,ADM1,hospitals,TIME,3000,1205765,105244,81.91,1685,1.31,429515,81.91,6874,1.31,980381,81.91,15689,1.31,276130,81.91,4419,1.31,96225,81.91,1540,1.31,81.91,19296,1.31
Tanitharyi,MM-05,20573499B47967485654923,MMR,ADM1,hospitals,TIME,3600,1212496,105831,82.37,587,0.46,431913,82.37,2398,0.46,985854,82.37,5473,0.46,277672,82.37,1542,0.46,96763,82.37,538,0.46,82.37,6731,0.46
Tanitharyi,MM-05,20573499B47967485654923,MMR,ADM1,hospitals,TIME,4200,1243627,108548,84.49,2717,2.11,443002,84.49,11089,2.11,1011165,84.49,25311,2.11,284801,84.49,7129,2.11,99247,84.49,2484,2.11,84.49,31131,2.11
Tanitharyi,MM-05,20573499B47967485654923,MMR,ADM1,hospitals,TIME,4800,1251696,109253,85.04,705,0.55,445876,85.04,2874,0.55,1017726,85.04,6561,0.55,286649,85.04,1848,0.55,99891,85.04,644,0.55,85.04,8069,0.55
Tanitharyi,MM-05,20573499B47967485654923,MMR,ADM1,hospitals,TIME,5400,1253551,109415,85.16,162,0.13,446537,85.16,661,0.13,1019235,85.16,1509,0.13,287074,85.16,425,0.13,100039,85.16,148,0.13,85.16,1855,0.13
Tanitharyi,MM-05,20573499B47967485654923,MMR,ADM1,hospitals,TIME,6000,1258789,109872,85.52,457,0.36,448403,85.52,1866,0.36,1023494,85.52,4259,0.36,288273,85.52,1199,0.36,100457,85.52,418,0.36,85.52,5238,0.36
Tanitharyi,MM-05,20573499B47967485654923,MMR,ADM1,hospitals,TIME,6600,1261235,110085,85.68,213,0.17,449274,85.68,871,0.17,1025482,85.68,1988,0.17,288833,85.68,560,0.17,100652,85.68,195,0.17,85.68,2446,0.17
Tanitharyi,MM-05,20573499B47967485654923,MMR,ADM1,hospitals,TIME,7200,1262374,110185,85.76,100,0.08,449680,85.76,406,0.08,1026408,85.76,926,0.08,289094,85.76,261,0.08,100743,85.76,91,0.08,85.76,1139,0.08
Magway,MM-03,20573499B51748932062429,MMR,ADM1,hospitals,TIME,600,1498841,102108,38.03,102108,38.03,426820,38.04,426820,38.04,1171848,38.09,1171848,38.09,387314,38.12,387314,38.12,166440,38.19,166440,38.19,38.1,1498841,38.1
Magway,MM-03,20573499B51748932062429,MMR,ADM1,hospitals,TIME,1200,2218756,151223,56.32,49115,18.29,632099,56.34,205279,18.3,1734846,56.39,562998,18.3,573275,56.42,185961,18.3,246243,56.5,79803,18.31,56.41,719915,18.3
Magway,MM-03,20573499B51748932062429,MMR,ADM1,hospitals,TIME,1800,2650278,180700,67.3,29477,10.98,755230,67.31,123131,10.97,2072322,67.36,337476,10.97,684731,67.39,111456,10.97,294065,67.47,47822,10.97,67.38,431522,10.97
Magway,MM-03,20573499B51748932062429,MMR,ADM1,hospitals,TIME,2400,2935037,200233,74.57,19533,7.27,836764,74.58,81534,7.27,2295159,74.61,222837,7.24,758231,74.62,73500,7.23,325485,74.68,31420,7.21,74.62,284759,7.24
Magway,MM-03,20573499B51748932062429,MMR,ADM1,hospitals,TIME,3000,3224166,219959,81.92,19726,7.35,919335,81.94,82571,7.36,2521457,81.96,226298,7.36,832979,81.98,74748,7.36,357345,81.99,31860,7.31,81.97,289129,7.35
Magway,MM-03,20573499B51748932062429,MMR,ADM1,hospitals,TIME,3600,3380830,230631,85.89,10672,3.97,963943,85.91,44608,3.98,2643937,85.95,122480,3.98,873462,85.96,40483,3.98,374747,85.98,17402,3.99,85.95,156664,3.98
Magway,MM-03,20573499B51748932062429,MMR,ADM1,hospitals,TIME,4200,3479289,237338,88.39,6707,2.5,991978,88.41,28035,2.5,2720913,88.45,76976,2.5,898905,88.46,25443,2.5,385684,88.49,10937,2.51,88.45,98459,2.5
Magway,MM-03,20573499B51748932062429,MMR,ADM1,hospitals,TIME,4800,3526743,240571,89.6,3233,1.2,1005488,89.62,13510,1.2,2758012,89.65,37099,1.21,911168,89.67,12263,1.21,390956,89.7,5272,1.21,89.66,47454,1.21
Magway,MM-03,20573499B51748932062429,MMR,ADM1,hospitals,TIME,5400,3589819,244867,91.2,4296,1.6,1023448,91.22,17960,1.6,2807326,91.26,49314,1.6,927467,91.28,16299,1.6,397961,91.31,7005,1.61,91.26,63076,1.6
Magway,MM-03,20573499B51748932062429,MMR,ADM1,hospitals,TIME,6000,3629108,247541,92.19,2674,1.0,1034637,92.21,11189,1.0,2838052,92.26,30726,1.0,937625,92.28,10158,1.0,402316,92.31,4355,1.0,92.26,39289,1.0
Magway,MM-03,20573499B51748932062429,MMR,ADM1,hospitals,TIME,6600,3755648,256202,95.42,8661,3.23,1070862,95.44,36225,3.23,2937121,95.48,99069,3.22,970309,95.49,32684,3.22,416232,95.5,13916,3.19,95.48,126540,3.22
Magway,MM-03,20573499B51748932062429,MMR,ADM1,hospitals,TIME,7200,3790131,258553,96.29,2351,0.88,1080686,96.32,9824,0.88,2964081,96.35,26960,0.88,979218,96.37,8909,0.88,420062,96.38,3830,0.88,96.36,34483,0.88
Chin,MM-14,20573499B58864057590207,MMR,ADM1,hospitals,TIME,600,263286,30338,50.2,30338,50.2,108431,50.15,108431,50.15,214230,50.03,214230,50.03,58821,49.95,58821,49.95,20853,49.85,20853,49.85,50.02,263286,50.02
Chin,MM-14,20573499B58864057590207,MMR,ADM1,hospitals,TIME,1200,287782,33161,54.87,2823,4.67,118520,54.82,10089,4.67,234162,54.69,19932,4.66,64293,54.6,5472,4.65,22793,54.48,1940,4.64,54.67,24496,4.65
Chin,MM-14,20573499B58864057590207,MMR,ADM1,hospitals,TIME,1800,291068,33540,55.49,379,0.63,119873,55.44,1353,0.63,236835,55.31,2673,0.62,65027,55.22,734,0.62,23054,55.11,261,0.62,55.3,3286,0.62
Chin,MM-14,20573499B58864057590207,MMR,ADM1,hospitals,TIME,2400,293876,33855,56.02,315,0.52,121011,55.97,1138,0.53,239118,55.85,2283,0.53,65661,55.76,634,0.54,23279,55.64,225,0.54,55.83,2808,0.53
Chin,MM-14,20573499B58864057590207,MMR,ADM1,hospitals,TIME,3000,306019,35255,58.33,1400,2.32,126012,58.28,5001,2.31,248997,58.15,9879,2.31,68373,58.06,2712,2.3,24241,57.94,962,2.3,58.14,12143,2.31
Chin,MM-14,20573499B58864057590207,MMR,ADM1,hospitals,TIME,3600,307890,35469,58.69,214,0.35,126779,58.64,767,0.35,250520,58.51,1523,0.36,68793,58.42,420,0.36,24390,58.3,149,0.36,58.49,1871,0.36
Chin,MM-14,20573499B58864057590207,MMR,ADM1,hospitals,TIME,4200,318415,36682,60.69,1213,2.01,131114,60.64,4335,2.0,259084,60.51,8564,2.0,71144,60.42,2351,2.0,25223,60.29,833,1.99,60.49,10525,2.0
Chin,MM-14,20573499B58864057590207,MMR,ADM1,hospitals,TIME,4800,323868,37311,61.73,629,1.04,133360,61.68,2246,1.04,263521,61.55,4437,1.04,72362,61.45,1218,1.03,25655,61.32,432,1.03,61.53,5453,1.04
Chin,MM-14,20573499B58864057590207,MMR,ADM1,hospitals,TIME,5400,329325,37940,62.77,629,1.04,135608,62.72,2248,1.04,267961,62.58,4440,1.04,73581,62.48,1219,1.04,26087,62.36,432,1.03,62.56,5457,1.04
Chin,MM-14,20573499B58864057590207,MMR,ADM1,hospitals,TIME,6000,335422,38642,63.94,702,1.16,138119,63.88,2511,1.16,272922,63.74,4961,1.16,74943,63.64,1362,1.16,26570,63.51,483,1.15,63.72,6097,1.16
Chin,MM-14,20573499B58864057590207,MMR,ADM1,hospitals,TIME,6600,340142,39186,64.84,544,0.9,140063,64.78,1944,0.9,276763,64.64,3841,0.9,75998,64.54,1055,0.9,26944,64.41,374,0.89,64.62,4720,0.9
Chin,MM-14,20573499B58864057590207,MMR,ADM1,hospitals,TIME,7200,340978,39282,64.99,96,0.16,140407,64.94,344,0.16,277443,64.8,680,0.16,76184,64.7,186,0.16,27010,64.56,66,0.16,64.78,836,0.16
Kachin,MM-11,20573499B79934184351821,MMR,ADM1,hospitals,TIME,600,1032958,80984,51.82,80984,51.82,345228,51.82,345228,51.82,854918,51.81,854918,51.81,241435,51.78,241435,51.78,67392,51.68,67392,51.68,51.8,1032958,51.8
Kachin,MM-11,20573499B79934184351821,MMR,ADM1,hospitals,TIME,1200,1239034,97142,62.16,16158,10.34,414108,62.16,68880,10.34,1025482,62.15,170564,10.34,289597,62.11,48162,10.33,80830,61.98,13438,10.3,62.14,206076,10.33
Kachin,MM-11,20573499B79934184351821,MMR,ADM1,hospitals,TIME,1800,1353342,106103,67.89,8961,5.73,452308,67.9,38200,5.73,1120083,67.88,94601,5.73,316317,67.84,26720,5.73,88292,67.71,7462,5.72,67.87,114308,5.73
Kachin,MM-11,20573499B79934184351821,MMR,ADM1,hospitals,TIME,2400,1428341,111983,71.66,5880,3.76,477374,71.66,25066,3.76,1182156,71.65,62073,3.76,333846,71.6,17529,3.76,93185,71.46,4893,3.75,71.63,74999,3.76
Kachin,MM-11,20573499B79934184351821,MMR,ADM1,hospitals,TIME,3000,1477574,115843,74.13,3860,2.47,493829,74.13,16455,2.47,1222904,74.12,40748,2.47,345352,74.07,11506,2.47,96395,73.92,3210,2.46,74.1,49233,2.47
Kachin,MM-11,20573499B79934184351821,MMR,ADM1,hospitals,TIME,3600,1532467,120140,76.88,4297,2.75,512142,76.88,18313,2.75,1268297,76.87,45393,2.75,358212,76.82,12860,2.76,100017,76.7,3622,2.78,76.86,54893,2.75
Kachin,MM-11,20573499B79934184351821,MMR,ADM1,hospitals,TIME,4200,1556177,121998,78.06,1858,1.19,520058,78.07,7916,1.19,1287910,78.06,19613,1.19,363760,78.01,5548,1.19,101573,77.89,1556,1.19,78.04,23710,1.19
Kachin,MM-11,20573499B79934184351821,MMR,ADM1,hospitals,TIME,4800,1579540,123829,79.24,1831,1.17,527867,79.24,7809,1.17,1307247,79.23,19337,1.17,369220,79.18,5460,1.17,103096,79.06,1523,1.17,79.22,23363,1.17
Kachin,MM-11,20573499B79934184351821,MMR,ADM1,hospitals,TIME,5400,1594673,125016,80.0,1187,0.76,532924,80.0,5057,0.76,1319772,79.99,12525,0.76,372758,79.94,3538,0.76,104084,79.82,988,0.76,79.97,15133,0.76
Kachin,MM-11,20573499B79934184351821,MMR,ADM1,hospitals,TIME,6000,1611491,126334,80.84,1318,0.84,538546,80.84,5622,0.84,1333692,80.83,13920,0.84,376688,80.79,3930,0.84,105181,80.66,1097,0.84,80.82,16818,0.84
Kachin,MM-11,20573499B79934184351821,MMR,ADM1,hospitals,TIME,6600,1625340,127420,81.53,1086,0.69,543174,81.54,4628,0.69,1345153,81.53,11461,0.69,379925,81.48,3237,0.69,106085,81.35,904,0.69,81.51,13849,0.69
Kachin,MM-11,20573499B79934184351821,MMR,ADM1,hospitals,TIME,7200,1639897,128556,82.26,1136,0.73,548011,82.27,4837,0.73,1357168,82.25,12015,0.73,383352,82.21,3427,0.73,107067,82.1,982,0.75,82.24,14557,0.73
Saigang,MM-01,20573499B8199738503087,MMR,ADM1,hospitals,TIME,600,1967336,145494,34.23,145494,34.23,609201,34.23,609201,34.23,1568878,34.22,1568878,34.22,502270,34.22,502270,34.22,187723,34.22,187723,34.22,34.22,1967336,34.22
